name,lat,lon,province,district,reference
Carmen 2,-2.3953326993663664,-76.28285722764385,Loreto,Tigre,"ABANTO LLAQUE, Julio. 2004. Evaluación arqueológica sin excavaciones en el Lote 1-AB. Zonas: Carmen, Jíbaro N.O. y Tambo. 26 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 a. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Primera parte: Informe de la delimitación de los sitios Alianza Topal y Capahuari. 60 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 b. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Segunda parte: Informe del plan de monitoreo arqueológico para el programa de estudio y exploraciones de Sísmica 3D, en el Lote 1 AB, Sector: Carmen. 64 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 c. Proyecto de evaluación arqueológica para la delimitación de los sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los sectores Carmen y Jíbaro N.O. Lote 1-AB. Informe de la ficha técnica, memoria descriptiva y planos de sitios delimitados. 14 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
Florestal,-2.46014116285089,-76.1365941876344,Loreto,Tigre,"PLUS PETROL NORTE SA & WALSH PERÚ SA. 2007. Mapa de sitios arqueológicos del proyecto EIA Proyecto 20 Pozos de Desarrollo y Construcción de Facilidades de Producción Lote 1AB. Datum WGS 84, Zona 18 S, Escala 1/600 000"
Piura,-4.11544421265742,-74.4134706202439,Loreto,Tigre,"ENVIRONMENTAL RESOURCES MANAGEMENT – ERM PERÚ S.A. 2007.  Estudio de Impacto Ambiental y Social de la Prospección Sísmica 2D de 445 Km en el Lote 104. Capítulo IV: Línea Base Social. 302 pp. Lima, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
Río Tigre 1 o Providencia,-3.5020732581922296,-74.7451222181351,Loreto,Tigre,"FIERRO HUATUCO, Koraíta. 2011. Plan de Monitoreo Arqueológico del Programa Exploratorio de los lotes 129, 123 y 124. Departamento de Loreto. 109 pp. Informe Final presentado al Ministerio de Cultura. Lima, Perú. // CHUMPITAZ LLERENA, Daniel. 2011. Proyecto de Evaluación Arqueológica del Campamento Base Providencia y del Campamento Volante 07. Lote 123. Derivado del Plan de Monitoreo Arqueológico del Programa Exploratorio de los lotes 129, 123 y 124. Departamento de Loreto. 153 pp. Informe Final presentado al Ministerio de Cultura. Lima, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
Intutillo 1,-3.5165171482720825,-74.85199020268574,Loreto,Tigre,"FIERRO HUATUCO, Koraíta. 2011. Plan de monitoreo arqueológico del programa Exploratorio de los Lotes 129, 123 y 124. Departamento de Loreto. 109 pp. Informe Final presentado al Ministerio de Cultura. Lima, Perú."
Aucayacu 1,-3.5568148180576644,-74.97808432422005,Loreto,Tigre,"FIERRO HUATUCO, Koraíta. 2011. Plan de monitoreo arqueológico del programa exploratorio de los Lotes 129, 123 y 124. Departamento de Loreto. 109 pp. Informe Final presentado al Ministerio de Cultura. Lima, Perú."
Bolognesi,-3.34145102917735,-75.0330821624639,Loreto,Tigre,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
Lamas Tipishca (Nuevo Canaan),-2.82086052339109,-75.4251496082676,Loreto,Tigre,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ENVIRONMENTAL RESOURCES MANAGEMENT – ERM PERÚ S.A. 2007.  Estudio de Impacto Ambiental y Social de la Prospección Sísmica 2D de 445 Km en el Lote 104. Capítulo IV: Línea Base Social. 302 pp. Lima, Perú."
Bellavista,-4.02685550586301,-74.3685651399635,Loreto,Tigre,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
San Jorge,-3.94564561961315,-74.3105206192822,Loreto,Tigre,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
Pavayacu,-3.6828008061896,-74.5752096612871,Loreto,Tigre,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
Santa Elena,-3.5130221785663,-74.6925481396624,Loreto,Tigre,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
Puerto Intuto,-3.48877394184398,-74.7792931187291,Loreto,Tigre,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
Alfonso Ugarte,-3.48673173655679,-74.7897193452556,Loreto,Tigre,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. //MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
Quebrada Intuto,-3.48913822634167,-74.789763826842,Loreto,Tigre,"MORALES CHOCANO, Daniel. 2002. Investigaciones arqueológicas en el Distrito de Tigre (Provincia de Loreto) y Las Amazonas (Provincia de Maynas). 40 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
El Alto,-2.38474915784427,-75.803064221801,Loreto,Tigre,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
La Punta - Pinshacocha,-2.4295860951297,-75.7969116565615,Loreto,Tigre,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
28 de Julio,-3.47454763671303,-74.7993283852312,Loreto,Tigre,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
Solima,-4.13297549743691,-74.4250080225651,Loreto,Tigre,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
Gonzalo Tuy Tuy,-3.6806645901373964,-74.73525711738633,Loreto,Tigre,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
Fundo Barranquita,-3.6854182641220845,-74.71910948960867,Loreto,Tigre,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
Valencia,-3.12830292476876,-75.6746476124939,Loreto,Trompeteros,"RAVINES, Rogger. 1978-1980. Reconocimiento arqueológico en el río Corrientes, Nororiente del Perú. Pp. 111-138. Revista del Museo Nacional, Tomo XLIV. Lima, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
Platanoyacu,-3.12148100657443,-75.6760741585609,Loreto,Trompeteros,"RAVINES, Rogger. 1978-1980. Reconocimiento arqueológico en el río Corrientes, Nororiente del Perú. Pp. 111-138. Revista del Museo Nacional, Tomo XLIV. Lima, Perú."
Carmen 1,-2.413078929788779,-76.28287377748951,Loreto,Trompeteros,"ABANTO LLAQUE, Julio. 2004. Evaluación arqueológica sin excavaciones en el Lote 1-AB. Zonas: Carmen, Jíbaro N.O. y Tambo. 26 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 a. Proyecto de evaluación arqueológica para la delimitación de los Sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los Sectores Carmen y Jíbaro N.O. Lote 1-AB. Primera Parte: Informe de la delimitación de los Sitios Alianza Topal y Capahuari. 60 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 b. Proyecto de evaluación arqueológica para la delimitación de los Sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los Sectores Carmen y Jíbaro N.O. Lote 1-AB. Segunda Parte: Informe del plan de monitoreo arqueológico para el programa de estudio y exploraciones de sísmica 3D, en el Lote 1 AB, Sector: Carmen. 64 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú. // ABANTO LLAQUE, Julio. 2005 c. Proyecto de evaluación arqueológica para la delimitación de los Sitios: Alianza Topal y Capahuari, y plan de monitoreo arqueológico para los Sectores Carmen y Jíbaro N.O. Lote 1-AB. Informe de la ficha técnica, memoria descriptiva y planos de sitios delimitados. 14 pp. Informe presentado al Instituto Nacional de Cultura. Lima, Perú."
Carmen 3,-2.48455181189808,-76.1604652819889,Loreto,Trompeteros,"PLUS PETROL NORTE SA & WALSH PERÚ SA. 2007. Mapa de sitios arqueológicos del proyecto EIA Proyecto 20 Pozos de Desarrollo y Construcción de Facilidades de Producción Lote 1AB. Datum WGS 84, Zona 18 S, Escala 1/600 000"
Carmen 4,-2.47597352920505,-76.1744692362909,Loreto,Trompeteros,"PLUS PETROL NORTE SA & WALSH PERÚ SA. 2007. Mapa de sitios arqueológicos del proyecto EIA Proyecto 20 Pozos de Desarrollo y Construcción de Facilidades de Producción Lote 1AB. Datum WGS 84, Zona 18 S, Escala 1/600 000"
Carmen 5,-2.46283453456357,-76.2203940957655,Loreto,Trompeteros,"PLUS PETROL NORTE SA & WALSH PERÚ SA. 2007. Mapa de sitios arqueológicos del proyecto EIA Proyecto 20 Pozos de Desarrollo y Construcción de Facilidades de Producción Lote 1AB. Datum WGS 84, Zona 18 S, Escala 1/600 000"
Carmen 6,-2.44743799102351,-76.241944896518,Loreto,Trompeteros,"PLUS PETROL NORTE SA & WALSH PERÚ SA. 2007. Mapa de sitios arqueológicos del proyecto EIA Proyecto 20 Pozos de Desarrollo y Construcción de Facilidades de Producción Lote 1AB. Datum WGS 84, Zona 18 S, Escala 1/600 000"
Shiviyacu,-2.52287652537367,-76.1606159178446,Loreto,Trompeteros,"PLUS PETROL NORTE SA & WALSH PERÚ SA. 2007. Mapa de sitios arqueológicos del proyecto EIA Proyecto 20 Pozos de Desarrollo y Construcción de Facilidades de Producción Lote 1AB. Datum WGS 84, Zona 18 S, Escala 1/600 000"
Quebrada Lupunayo,-3.7258305727207417,-75.30746958802551,Loreto,Trompeteros,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
Boca de Copal,-3.71324542020048,-75.3351477816965,Loreto,Trompeteros,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
Campamento Base 1,-3.72371735465354,-75.4281148190271,Loreto,Trompeteros,"WALSH PERÚ. 2008. Ficha de Registro de Sitio Arqueológico para los EIAS para el Programa de Prospección Sísmica 2D y Construcción de los Campamentos Bases Logísticos para las Operaciones del Lote 127, para CEPSA. Anexo 3-1 al 3-22 / 22 pp. Lima, Perú"
Boca de Copal 1,-3.75504471378778,-75.371799153372,Loreto,Trompeteros,"WALSH PERÚ. 2008. Ficha de Registro de Sitio Arqueológico para los EIAS para el Programa de Prospección Sísmica 2D y Construcción de los Campamentos Bases Logísticos para las Operaciones del Lote 127, para CEPSA. Anexo 3-1 al 3-22 / 22 pp. Lima, Perú"
